PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9
-12.265105326598574,2.8467051940636696,-3.0400846733606475,-1.5983062482739012,1.0215370953579002,-0.46476332356167677,2.6733929103524923,1.989725878942464,1.582361479027246
-11.605654968190636,2.9996727393090423,-2.296826973025892,-4.588443783182024,0.23082471683744873,-0.7462290732388315,2.5105909411513907,1.5774299670380252,3.193005621201025
-12.056562622352969,1.1146910496259923,-0.8382010551392176,-3.020380558649428,-0.026578829464151885,-0.14543253083393715,3.4710508781439176,2.571363602664104,2.290369904520201
-10.065589024336912,0.7187980155389491,-0.6544889910030641,-2.2618978097417886,1.9887392270323585,1.4055271139024594,1.2593091010485304,0.3266446052039203,3.1337852761920715
-7.653544621452259,0.1909240672076011,-2.049461491760711,0.3295534821876788,2.8698124150088775,3.5740593973204398,0.06166344377219599,3.3478277999890627,1.5829398470738618
-9.088827657116283,-0.18997185187724086,1.350067896310537,-1.3330276262878846,2.3022463923198444,0.07905062467285166,1.6968343133847912,1.78317367270384,2.369550592527402
-7.6967140997585535,-1.3716275993201301,1.0145293010888388,2.790600242536312,-0.003858743245838107,-0.22530656058910706,0.8620603830026485,1.1640902043749968,2.3295437544366107
-8.974823219591405,-1.319872950697715,-1.7006019393659473,-2.8939161702304625,-0.45245736190261476,0.713530896626919,-0.05834141069237129,0.6180681250311051,1.6516612305146607
-9.937206924868581,1.9335575917576682,-0.3746565017941286,-4.556688842302947,-1.325942627903027,-0.1255432868300158,0.4890148580788764,1.292265508432002,1.2597332320313062
-12.993971262520642,3.344039330171169,-4.639331259869719,0.1280674069843833,-3.1135504483255474,-0.7249552646427646,1.4755592454424404,2.6670410074506927,3.207596720877147
-9.929087184486503,2.3272114900313547,-1.3227377858331058,3.943948694361236,-4.97013195282647,0.1222399409441183,-0.09509083710464385,0.29779207287348486,3.6371394752593362
-9.295149362016025,0.8882548690796104,-2.897389549265616,4.346370979897013,-4.727084170626765,0.25644877826894563,0.019547629265247238,1.4344726170703705,3.1963290691158948
-9.744107879867716,-0.6269081427929397,-3.266563413123413,2.117532806493456,-4.246670159327738,-0.3246904315698302,0.5440077474183076,0.6707490211795917,3.0999323251805375
-9.37475248138009,0.857325409705888,-3.7795957627922996,2.089033305747681,-5.239945054356722,0.02015283645438219,-0.2568324535001751,0.6240424028728401,2.930710001431632
-9.117985721357732,-0.7753619206365276,-1.7990699864481983,3.068636566425526,-3.8721430974413376,-0.5506742131250529,0.11398883995281617,0.20358186446535273,3.224739549707063
-7.674347234985413,-1.53216194517252,-0.4918190174570307,2.9106846258388455,-3.033951342378998,0.24521226835483972,0.5876168807440445,0.27234627738532313,2.073744463032705
-8.334349265507084,-0.9796017194916805,-0.3298736698771142,-0.25544307486368006,-3.587586068019374,0.18229751489717563,0.4136084166120624,0.610427062806183,1.8498989494027758
-9.11850261252447,-1.8155773635516885,-2.5594033834744803,-3.1503910673846827,-3.8736241475820012,0.7110796622564063,0.11193520326027888,0.42869642590684426,1.1425346760525985
-9.139035443648233,6.617451235550833,1.1397226851388131,-2.1434438077085414,-0.8845793394711818,0.33097616882344,0.690442635545769,3.547080163430788,3.3105906406434156
-9.209455725498374,8.345067256679144,1.0280980605085206,2.7465047339767703,-3.1420416492893186,0.9706357140654381,0.08061613862952624,2.6622829180645944,1.8264349034213287
-9.051394937272093,8.017996909405118,1.6039938036390218,3.6366133765736244,-3.0358736453000468,1.1509605306345099,-0.8263288336457753,2.8566391237978577,2.652010387804828
-9.303646412728952,6.974040323131507,3.3644027713488875,1.9196565100019038,-2.3688174421600285,1.6482320174072393,-0.9963514564306802,2.2890638615370382,3.7087125300504096
-8.590338679408324,5.971882304535595,5.068778223445515,2.022632518068659,-0.44177440968109166,1.573111833965133,0.8847422932725013,2.7362156712304095,3.6141583095347904
